iter	Passed	Remaining
520	3525	3241
521	3532	3234
522	3538	3227
523	3545	3220
524	3552	3213
525	3558	3207
526	3566	3201
527	3573	3194
528	3581	3188
529	3590	3183
530	3597	3177
531	3604	3171
532	3611	3164
533	3618	3157
534	3625	3151
535	3633	3145
536	3641	3139
537	3648	3132
538	3655	3126
539	3661	3119
540	3668	3112
541	3675	3105
542	3681	3098
543	3688	3091
544	3695	3085
545	3701	3078
546	3709	3072
547	3715	3064
548	3723	3058
549	3729	3051
550	3735	3044
551	3742	3037
552	3748	3029
553	3754	3022
554	3760	3015
555	3767	3008
556	3774	3001
557	3781	2995
558	3787	2988
559	3794	2981
560	3802	2975
561	3808	2968
562	3815	2961
563	3822	2955
564	3830	2948
565	3837	2942
566	3844	2936
567	3851	2929
568	3858	2922
569	3865	2915
570	3873	2909
571	3879	2902
572	3885	2895
573	3891	2888
574	3897	2881
575	3904	2874
576	3910	2867
577	3916	2859
578	3923	2853
579	3930	2846
580	3936	2838
581	3942	2831
582	3948	2824
583	3955	2817
584	3961	2810
585	3968	2803
586	3976	2797
587	3983	2790
588	3989	2783
589	3996	2777
590	4003	2770
591	4009	2763
592	4015	2756
593	4022	2749
594	4028	2742
595	4035	2735
596	4043	2729
597	4049	2722
598	4055	2715
599	4062	2708
600	4069	2701
601	4076	2695
602	4083	2688
603	4090	2681
604	4097	2674
605	4103	2667
606	4110	2661
607	4117	2654
608	4124	2648
609	4130	2641
610	4136	2633
611	4142	2626
612	4149	2619
613	4156	2612
614	4162	2605
615	4169	2599
616	4176	2592
617	4182	2585
618	4189	2578
619	4195	2571
620	4202	2564
621	4208	2557
622	4215	2551
623	4222	2544
624	4229	2537
625	4236	2530
626	4242	2523
627	4248	2516
628	4255	2510
629	4262	2503
630	4268	2496
631	4275	2489
632	4281	2482
633	4287	2475
634	4294	2468
635	4300	2461
636	4307	2454
637	4313	2447
638	4320	2441
639	4327	2434
640	4333	2427
641	4340	2420
642	4347	2413
643	4354	2407
644	4361	2400
645	4368	2393
646	4375	2387
647	4381	2379
648	4387	2373
649	4394	2366
650	4400	2359
651	4406	2352
652	4412	2344
653	4418	2337
654	4425	2331
655	4431	2323
656	4437	2316
657	4443	2309
658	4449	2302
659	4456	2295
660	4463	2288
661	4469	2281
662	4476	2275
663	4482	2268
664	4489	2261
665	4496	2254
666	4503	2248
667	4509	2241
668	4516	2234
669	4522	2227
670	4530	2221
671	4537	2214
672	4544	2207
673	4550	2200
674	4557	2194
675	4563	2187
676	4571	2180
677	4577	2174
678	4584	2167
679	4591	2160
680	4598	2153
681	4605	2147
682	4611	2140
683	4618	2133
684	4624	2126
685	4631	2120
686	4637	2112
687	4644	2106
688	4650	2099
689	4657	2092
690	4663	2085
691	4670	2078
692	4676	2071
693	4682	2064
694	4688	2057
695	4695	2050
696	4702	2044
697	4708	2037
698	4715	2030
699	4720	2023
700	4726	2016
701	4733	2009
702	4739	2002
703	4745	1995
704	4750	1987
705	4756	1980
706	4762	1973
707	4769	1967
708	4775	1960
709	4781	1952
710	4787	1945
711	4792	1938
712	4798	1931
713	4805	1924
714	4812	1918
715	4818	1911
716	4825	1904
717	4831	1897
718	4838	1890
719	4844	1883
720	4850	1877
721	4856	1869
722	4862	1862
723	4868	1855
724	4873	1848
725	4880	1841
726	4885	1834
727	4891	1827
728	4897	1820
729	4903	1813
730	4910	1807
731	4916	1800
732	4922	1793
733	4929	1786
734	4935	1779
735	4942	1772
736	4948	1765
737	4955	1759
738	4961	1752
739	4967	1745
740	4973	1738
741	4979	1731
742	4985	1724
743	4991	1717
744	4998	1710
745	5005	1704
746	5011	1697
747	5018	1690
748	5024	1683
749	5031	1677
750	5038	1670
751	5045	1663
752	5052	1657
753	5059	1650
754	5066	1644
755	5073	1637
756	5079	1630
757	5086	1623
758	5093	1617
759	5100	1610
760	5107	1603
761	5113	1597
762	5120	1590
763	5126	1583
764	5133	1576
765	5139	1570
766	5146	1563
767	5153	1556
768	5159	1549
769	5166	1543
770	5172	1536
771	5178	1529
772	5184	1522
773	5193	1516
774	5199	1509
775	5207	1503
776	5213	1496
777	5220	1489
778	5227	1482
779	5233	1476
780	5240	1469
781	5247	1462
782	5253	1455
783	5259	1449
784	5265	1442
785	5271	1435
786	5277	1428
787	5284	1421
788	5290	1414
789	5296	1407
790	5302	1400
791	5307	1393
792	5314	1387
793	5320	1380
794	5326	1373
795	5333	1366
796	5339	1359
797	5345	1353
798	5352	1346
799	5359	1339
800	5366	1333
801	5372	1326
802	5379	1319
803	5385	1312
804	5392	1306
805	5399	1299
806	5405	1292
807	5411	1285
808	5418	1279
809	5424	1272
810	5431	1265
811	5437	1258
812	5443	1252
813	5450	1245
814	5456	1238
815	5463	1231
816	5470	1225
817	5477	1218
818	5483	1211
819	5489	1205
820	5495	1198
821	5501	1191
822	5507	1184
823	5513	1177
824	5520	1171
825	5526	1164
826	5532	1157
827	5539	1150
828	5545	1143
829	5552	1137
830	5558	1130
831	5563	1123
832	5569	1116
833	5576	1109
834	5582	1103
835	5589	1096
836	5595	1089
837	5601	1082
838	5608	1076
839	5614	1069
840	5622	1063
841	5628	1056
842	5635	1049
843	5641	1042
844	5647	1035
845	5653	1029
846	5660	1022
847	5666	1015
848	5673	1008
849	5679	1002
850	5686	995
851	5692	988
852	5698	982
853	5705	975
854	5711	968
855	5717	961
856	5723	955
857	5730	948
858	5736	941
859	5742	934
860	5748	928
861	5754	921
862	5760	914
863	5766	907
864	5772	900
865	5778	894
866	5784	887
867	5790	880
868	5796	873
869	5802	867
870	5807	860
871	5813	853
872	5820	846
873	5826	839
874	5832	833
875	5838	826
876	5844	819
877	5850	812
878	5856	806
879	5862	799
880	5868	792
881	5874	785
882	5879	779
883	5885	772
884	5891	765
885	5897	758
886	5903	752
887	5910	745
888	5917	738
889	5923	732
890	5930	725
891	5936	718
892	5943	712
893	5950	705
894	5957	698
895	5963	692
896	5970	685
897	5976	678
898	5984	672
899	5990	665
900	5997	659
901	6004	652
902	6010	645
903	6018	639
904	6024	632
905	6031	625
906	6037	619
907	6043	612
908	6050	605
909	6056	599
910	6063	592
911	6069	585
912	6075	578
913	6081	572
914	6088	565
915	6094	558
916	6101	552
917	6107	545
918	6113	538
919	6119	532
920	6125	525
921	6130	518
922	6136	511
923	6142	505
924	6148	498
925	6153	491
926	6160	485
927	6165	478
928	6171	471
929	6177	465
930	6183	458
931	6189	451
932	6195	444
933	6201	438
934	6206	431
935	6213	424
936	6220	418
937	6227	411
938	6233	404
939	6239	398
940	6245	391
941	6251	384
942	6257	378
943	6263	371
944	6269	364
945	6275	358
946	6281	351
947	6287	344
948	6293	338
949	6299	331
950	6305	324
951	6311	318
952	6317	311
953	6323	304
954	6328	298
955	6334	291
956	6340	284
957	6346	278
958	6352	271
959	6358	264
960	6365	258
961	6371	251
962	6377	245
963	6383	238
964	6389	231
965	6395	225
966	6400	218
967	6407	211
968	6413	205
969	6419	198
970	6425	191
971	6431	185
972	6438	178
973	6443	172
974	6449	165
975	6455	158
976	6461	152
977	6467	145
978	6473	138
979	6478	132
980	6484	125
981	6489	118
982	6495	112
983	6500	105
984	6506	99
985	6512	92
986	6518	85
987	6524	79
988	6530	72
989	6536	66
990	6541	59
991	6547	52
992	6553	46
993	6558	39
994	6564	32
995	6570	26
996	6575	19
997	6581	13
998	6587	6
999	6592	0
